id,query_id,query_group_id,execution_id,brand_in_response,total_sources,sources_with_brand,brand_mention_percentage
955148,259849,6516,13857,0,19,0,0.00
955147,259848,6516,13857,1,20,0,0.00
955146,259847,6516,13857,0,19,0,0.00
955145,259846,6516,13857,0,36,0,0.00
955144,259845,6516,13857,0,18,0,0.00
955143,259844,6516,13857,0,21,0,0.00
955142,259843,6516,13857,0,20,0,0.00
955141,259842,6516,13857,0,34,0,0.00
955140,259841,6516,13857,0,19,0,0.00
955139,259840,6516,13857,1,22,0,0.00
955138,259839,6516,13857,1,27,3,11.11
955137,259838,6516,13857,0,30,2,6.67
955136,259837,6516,13857,0,19,1,5.26
955135,259836,6516,13857,0,19,1,5.26
955134,259835,6516,13857,0,20,0,0.00
955133,259834,6516,13857,0,20,0,0.00
955132,259833,6516,13857,1,22,0,0.00
955131,259832,6516,13857,1,18,1,5.56
955130,259831,6516,13857,0,16,4,25.00
955129,259830,6516,13857,1,28,3,10.71
955128,259829,6516,13857,0,30,2,6.67
955127,259828,6516,13857,0,49,0,0.00
955126,259827,6516,13857,0,27,1,3.70
955125,259826,6516,13857,0,32,0,0.00
955124,259825,6516,13857,0,20,0,0.00
955123,259824,6516,13857,1,28,0,0.00
955122,259823,6516,13857,1,18,2,11.11
955121,259822,6516,13857,1,11,3,27.27
955120,259821,6516,13857,1,18,1,5.56
955119,259820,6516,13857,0,20,1,5.00
955118,259819,6516,13857,0,28,1,3.57
955117,259818,6516,13857,0,19,1,5.26
955116,259817,6516,13857,0,20,0,0.00
955115,259816,6516,13857,0,27,0,0.00
955114,259815,6516,13857,0,17,0,0.00
955113,259814,6516,13857,1,20,2,10.00
955112,259813,6516,13857,0,20,5,25.00
955111,259812,6516,13857,0,18,2,11.11
955110,259811,6516,13857,0,29,2,6.90
955109,259810,6516,13857,1,19,0,0.00
955108,259809,6516,13857,1,32,2,6.25
955107,259808,6516,13857,0,33,0,0.00
955106,259807,6516,13857,0,18,0,0.00
955105,259806,6516,13857,1,32,0,0.00
955104,259805,6516,13857,1,18,3,16.67
955103,259804,6516,13857,1,14,4,28.57
955102,259803,6516,13857,1,20,2,10.00
955101,259802,6516,13857,1,25,1,4.00
955100,259801,6516,13857,0,20,2,10.00
955099,259800,6516,13857,1,27,2,7.41
955085,259799,6515,13856,0,18,0,0.00
955084,259798,6515,13856,0,16,0,0.00
955083,259797,6515,13856,0,14,0,0.00
955082,259796,6515,13856,0,15,0,0.00
955081,259795,6515,13856,0,19,0,0.00
955080,259794,6515,13856,0,13,0,0.00
955079,259793,6515,13856,0,18,0,0.00
955078,259792,6515,13856,0,19,0,0.00
955077,259791,6515,13856,0,16,0,0.00
955076,259790,6515,13856,0,26,0,0.00
955075,259789,6515,13856,1,13,5,38.46
955074,259788,6515,13856,0,2,0,0.00
955073,259787,6515,13856,1,19,1,5.26
955072,259786,6515,13856,1,11,8,72.73
955071,259785,6515,13856,0,12,0,0.00
955070,259784,6515,13856,1,9,2,22.22
955069,259783,6515,13856,1,10,1,10.00
955068,259782,6515,13856,0,29,0,0.00
955067,259781,6515,13856,0,18,0,0.00
955066,259780,6515,13856,0,28,0,0.00
955065,259779,6515,13856,0,10,0,0.00
955064,259778,6515,13856,0,19,0,0.00
955063,259777,6515,13856,0,23,0,0.00
955062,259776,6515,13856,1,17,0,0.00
955061,259775,6515,13856,1,12,4,33.33
955060,259774,6515,13856,0,11,0,0.00
955059,259773,6515,13856,1,15,1,6.67
955058,259772,6515,13856,0,14,0,0.00
955057,259771,6515,13856,1,17,2,11.76
955056,259770,6515,13856,0,16,0,0.00
955055,259769,6515,13856,1,14,5,35.71
955054,259768,6515,13856,1,18,1,5.56
955053,259767,6515,13856,0,12,0,0.00
955052,259766,6515,13856,1,16,2,12.50
955051,259765,6515,13856,0,10,0,0.00
955050,259764,6515,13856,0,23,1,4.35
955049,259763,6515,13856,1,14,2,14.29
955048,259762,6515,13856,0,17,0,0.00
955047,259761,6515,13856,0,28,0,0.00
955046,259760,6515,13856,1,11,0,0.00
955045,259759,6515,13856,1,14,4,28.57
955044,259758,6515,13856,0,7,0,0.00
955043,259757,6515,13856,0,31,0,0.00
955042,259756,6515,13856,1,15,2,13.33
955041,259755,6515,13856,0,22,0,0.00
955040,259754,6515,13856,1,12,4,33.33
955039,259753,6515,13856,0,17,0,0.00
955038,259752,6515,13856,1,12,0,0.00
955037,259751,6515,13856,1,38,1,2.63
955036,259750,6515,13856,1,15,5,33.33
954753,223369,5607,13854,1,34,10,29.41
954752,223368,5607,13854,1,45,20,44.44
954751,223367,5607,13854,0,19,2,10.53
954750,223366,5607,13854,1,35,15,42.86
954749,223365,5607,13854,0,20,1,5.00
954748,223364,5607,13854,1,47,11,23.40
954747,223363,5607,13854,1,26,11,42.31
954746,223362,5607,13854,1,32,13,40.62
954745,223361,5607,13854,1,33,14,42.42
954744,223360,5607,13854,1,18,6,33.33
954743,223359,5607,13854,1,20,6,30.00
954742,223358,5607,13854,1,47,22,46.81
954741,223357,5607,13854,0,17,1,5.88
954740,223356,5607,13854,1,48,17,35.42
954739,223355,5607,13854,1,28,9,32.14
954738,223354,5607,13854,0,36,0,0.00
954737,223353,5607,13854,1,48,16,33.33
954736,223352,5607,13854,1,51,20,39.22
954735,223351,5607,13854,1,34,19,55.88
954734,223350,5607,13854,1,26,12,46.15
954733,223349,5607,13854,1,36,8,22.22
954732,223348,5607,13854,1,31,11,35.48
954731,223347,5607,13854,1,47,16,34.04
954730,223346,5607,13854,0,40,5,12.50
954729,223345,5607,13854,0,20,2,10.00
954728,223344,5607,13854,1,20,9,45.00
954727,223343,5607,13854,1,30,8,26.67
954726,223342,5607,13854,1,20,5,25.00
954725,223341,5607,13854,1,38,8,21.05
954724,223340,5607,13854,1,19,8,42.11
954723,223339,5607,13854,1,42,21,50.00
954722,223338,5607,13854,0,20,5,25.00
954721,223337,5607,13854,0,38,17,44.74
954720,223336,5607,13854,0,40,14,35.00
954719,223335,5607,13854,1,28,14,50.00
954718,223334,5607,13854,1,42,14,33.33
954717,223333,5607,13854,1,21,7,33.33
954716,223332,5607,13854,1,26,4,15.38
954715,223331,5607,13854,1,46,16,34.78
954714,223330,5607,13854,1,56,29,51.79
954713,223329,5607,13854,1,38,10,26.32
954712,223328,5607,13854,1,28,9,32.14
954711,223327,5607,13854,1,52,10,19.23
954710,223326,5607,13854,1,46,15,32.61
954709,223325,5607,13854,1,43,21,48.84
954708,223324,5607,13854,1,20,5,25.00
954707,223323,5607,13854,0,30,1,3.33
954706,223322,5607,13854,0,19,0,0.00
954705,223321,5607,13854,0,21,0,0.00
954704,223320,5607,13854,0,20,2,10.00
954703,223319,5607,13854,0,28,0,0.00
954702,223318,5607,13854,0,17,1,5.88
954701,223317,5607,13854,1,20,3,15.00
954700,223316,5607,13854,0,20,0,0.00
954699,223315,5607,13854,1,18,0,0.00
954698,223314,5607,13854,1,39,16,41.03
954697,223313,5607,13854,1,40,18,45.00
954696,223312,5607,13854,1,52,28,53.85
954695,223311,5607,13854,1,31,18,58.06
954694,223310,5607,13854,1,43,17,39.53
954693,223309,5607,13854,1,19,10,52.63
954692,223308,5607,13854,1,20,6,30.00
954691,223307,5607,13854,1,49,19,38.78
954690,223306,5607,13854,1,43,24,55.81
954689,223305,5607,13854,1,20,5,25.00
954688,223304,5607,13854,1,31,5,16.13
954687,223303,5607,13854,1,43,21,48.84
954686,223302,5607,13854,1,52,26,50.00
954685,223301,5607,13854,1,33,22,66.67
954684,223300,5607,13854,1,20,15,75.00
954683,223299,5607,13854,1,42,21,50.00
954682,223298,5607,13854,1,45,16,35.56
954681,223297,5607,13854,1,36,15,41.67
954680,223296,5607,13854,1,18,5,27.78
954679,223295,5607,13854,1,34,16,47.06
954678,218874,5607,13854,0,22,0,0.00
954677,218873,5607,13854,1,20,3,15.00
954676,218872,5607,13854,0,20,0,0.00
954675,218871,5607,13854,0,20,1,5.00
954674,218870,5607,13854,0,20,0,0.00
954673,218869,5607,13854,1,20,1,5.00
954672,218868,5607,13854,1,36,3,8.33
954671,218867,5607,13854,1,20,6,30.00
954670,218866,5607,13854,1,19,5,26.32
954669,218865,5607,13854,1,28,10,35.71
954668,218864,5607,13854,0,16,1,6.25
954667,218863,5607,13854,0,32,10,31.25
954666,218862,5607,13854,1,19,9,47.37
954665,218861,5607,13854,1,29,8,27.59
954664,218860,5607,13854,1,42,22,52.38
954663,218859,5607,13854,1,31,12,38.71
954662,218858,5607,13854,1,39,15,38.46
954661,218857,5607,13854,1,36,14,38.89
954660,218856,5607,13854,1,33,14,42.42
954659,218855,5607,13854,1,50,14,28.00
954658,218854,5607,13854,0,21,1,4.76
954657,218853,5607,13854,1,18,2,11.11
954656,218852,5607,13854,1,37,15,40.54
954655,218851,5607,13854,1,29,19,65.52
954654,218850,5607,13854,1,34,27,79.41
953610,193576,4350,13845,0,18,2,11.11
953609,193575,4350,13845,1,31,4,12.90
953608,193574,4350,13845,1,14,1,7.14
953607,193573,4350,13845,0,18,4,22.22
953606,193572,4350,13845,0,13,1,7.69
953605,193571,4350,13845,0,18,2,11.11
953604,193570,4350,13845,0,27,3,11.11
953603,193569,4350,13845,1,17,1,5.88
953602,193568,4350,13845,1,18,4,22.22
953601,193567,4350,13845,0,13,1,7.69
953600,193566,4350,13845,0,14,3,21.43
953599,193565,4350,13845,0,17,4,23.53
953598,193564,4350,13845,1,19,2,10.53
953597,193563,4350,13845,0,20,1,5.00
953596,193562,4350,13845,0,17,1,5.88
953595,193561,4350,13845,1,30,2,6.67
953594,193560,4350,13845,0,27,2,7.41
953593,193559,4350,13845,1,20,2,10.00
953592,193558,4350,13845,1,19,2,10.53
953591,193557,4350,13845,1,14,2,14.29
953590,193556,4350,13845,1,15,1,6.67
953589,193555,4350,13845,0,16,3,18.75
953588,193554,4350,13845,0,16,2,12.50
953587,193553,4350,13845,0,15,1,6.67
953586,193552,4350,13845,1,29,9,31.03
953585,193551,4350,13845,0,15,2,13.33
953584,193550,4350,13845,0,17,2,11.76
953583,193549,4350,13845,0,32,2,6.25
953582,193548,4350,13845,1,29,3,10.34
953581,193547,4350,13845,1,15,3,20.00
953580,193546,4350,13845,0,16,2,12.50
953579,193545,4350,13845,0,18,1,5.56
953578,193544,4350,13845,1,16,2,12.50
953577,193543,4350,13845,0,25,2,8.00
953576,193542,4350,13845,1,28,2,7.14
953575,193541,4350,13845,0,21,2,9.52
953574,193540,4350,13845,0,17,2,11.76
953573,193539,4350,13845,0,18,1,5.56
953572,193538,4350,13845,0,15,1,6.67
953571,193537,4350,13845,0,14,2,14.29
953570,193536,4350,13845,0,25,3,12.00
